,3.15
1,1.9115395
1.1,2.0654293
1.2,2.2096728
1.3,2.343828
1.4,2.4675535
1.5,2.5806125
1.6,2.6828743
1.7,2.7743164
1.8,2.8550243
1.9,2.9251908
2,2.9851138
2.1,3.035194
2.2,3.07593
2.3,3.1079139
2.4,3.1318255
2.5,3.1484249
2.6,3.1585455
2.7,3.1630853
2.8,3.1629981
2.9,3.1592839
3,3.152979
3.1,3.1451456
3.2,3.1368612
3.3,3.1292076
3.4,3.1232605
3.5,3.1200785
3.6,3.1206925
3.7,3.1260957
3.8,3.137233
3.9,3.1549926
4,3.180196
4.1,3.2135906
4.2,3.2558419
4.3,3.307527
4.4,3.3691285
4.5,3.4410301
4.6,3.5235126
4.7,3.616751
4.8,3.7208129
4.9,3.8356577
5,3.961137
5.1,4.0969963
5.2,4.2428773
5.3,4.3983215
5.4,4.562775
5.5,4.7355938
5.6,4.9160503
5.7,5.1033405
5.8,5.2965924
5.9,5.4948742
6,5.6972039
6.1,5.902559
6.2,6.1098868
6.3,6.3181151
6.4,6.5261623
6.5,6.732949
6.6,6.9374081
6.7,7.138496
6.8,7.3352025
6.9,7.5265615
7,7.7116601
7.1,7.889648
7.2,8.059746
7.3,8.2212537
7.4,8.3735566
7.5,8.516132
7.6,8.6485545
7.7,8.7705002
7.8,8.8817499
7.9,8.9821911
8,9.0718193
8.1,9.1507383
8.2,9.2191587
8.3,9.277396
8.4,9.3258674
8.5,9.3650879
8.6,9.3956647
8.7,9.4182915
8.8,9.4337414
8.9,9.4428591
9,9.4465528
9.1,9.4457847
9.2,9.4415616
9.3,9.4349248
9.4,9.42694
9.5,9.418686
9.6,9.4112445
9.7,9.4056889
9.8,9.403074
9.9,9.404425
10,9.4107277
10.1,9.4229182
10.2,9.4418738
10.3,9.4684045
10.4,9.5032441
10.5,9.5470438
10.6,9.6003652
10.7,9.6636745
10.8,9.7373385
10.9,9.8216203
11,9.9166768
11.1,10.0225576
11.2,10.1392038
11.3,10.2664492
11.4,10.4040214
11.5,10.5515451
11.6,10.7085455
11.7,10.874453
11.8,11.0486091
11.9,11.2302729
12,11.4186283
12.1,11.6127926
12.2,11.8118249
12.3,12.0147358
12.4,12.2204969
12.5,12.4280515
12.6,12.636325
12.7,12.8442356
12.8,13.050705
12.9,13.2546695
13,13.4550902
13.1,13.6509638
13.2,13.8413324
13.3,14.025293
13.4,14.2020067
13.5,14.370707
13.6,14.5307075
13.7,14.6814086
13.8,14.8223039
13.9,14.9529846
14,15.0731443
14.1,15.1825815
14.2,15.2812018
14.3,15.3690192
14.4,15.4461552
14.5,15.5128385
14.6,15.5694018
14.7,15.6162791
14.8,15.6540013
14.9,15.6831906
15,15.7045545
