,3.15
1,1.8834905
1.1,2.0357224
1.2,2.1786048
1.3,2.3117093
1.4,2.4347052
1.5,2.5473627
1.6,2.6495552
1.7,2.7412609
1.8,2.8225627
1.9,2.8936474
2,2.9548039
2.1,3.0064203
2.2,3.0489801
2.3,3.0830571
2.4,3.1093101
2.5,3.1284759
2.6,3.1413621
2.7,3.1488393
2.8,3.1518318
2.9,3.1513089
3,3.148275
3.1,3.1437596
3.2,3.138807
3.3,3.1344658
3.4,3.1317785
3.5,3.1317713
3.6,3.1354432
3.7,3.1437569
3.8,3.1576283
3.9,3.1779181
4,3.2054227
4.1,3.2408665
4.2,3.2848945
4.3,3.3380658
4.4,3.4008486
4.5,3.4736145
4.6,3.5566357
4.7,3.6500818
4.8,3.7540184
4.9,3.8684061
5,3.9931011
5.1,4.1278568
5.2,4.2723258
5.3,4.4260637
5.4,4.5885338
5.5,4.7591118
5.6,4.9370925
5.7,5.1216967
5.8,5.3120792
5.9,5.5073368
6,5.7065177
6.1,5.908631
6.2,6.1126565
6.3,6.3175546
6.4,6.5222773
6.5,6.7257783
6.6,6.9270234
6.7,7.125001
6.8,7.3187321
6.9,7.5072802
7,7.6897605
7.1,7.865349
7.2,8.0332904
7.3,8.1929058
7.4,8.3435996
7.5,8.4848653
7.6,8.6162905
7.7,8.7375613
7.8,8.8484651
7.9,8.948893
8,9.0388407
8.1,9.1184087
8.2,9.187801
8.3,9.2473236
8.4,9.2973808
8.5,9.3384717
8.6,9.3711848
8.7,9.3961926
8.8,9.4142442
8.9,9.4261584
9,9.4328155
9.1,9.4351481
9.2,9.4341319
9.3,9.4307764
9.4,9.4261142
9.5,9.421191
9.6,9.4170553
9.7,9.4147476
9.8,9.41529
9.9,9.4196762
10,9.4288617
10.1,9.4437539
10.2,9.465203
10.3,9.493994
10.4,9.5308383
10.5,9.576367
10.6,9.6311243
10.7,9.6955624
10.8,9.7700364
10.9,9.8548015
11,9.9500098
11.1,10.0557094
11.2,10.1718431
11.3,10.2982498
11.4,10.4346657
11.5,10.5807269
11.6,10.7359731
11.7,10.8998525
11.8,11.0717266
11.9,11.2508774
12,11.4365141
12.1,11.6277808
12.2,11.8237659
12.3,12.0235101
12.4,12.226017
12.5,12.4302622
12.6,12.6352043
12.7,12.8397945
12.8,13.042988
12.9,13.2437537
13,13.4410846
13.1,13.6340084
13.2,13.8215966
13.3,14.002974
13.4,14.1773275
13.5,14.3439142
13.6,14.5020687
13.7,14.6512101
13.8,14.7908474
13.9,14.9205844
14,15.040124
14.1,15.1492711
14.2,15.2479343
14.3,15.3361268
14.4,15.4139666
14.5,15.4816753
14.6,15.5395754
14.7,15.5880875
14.8,15.6277262
14.9,15.6590945
15,15.6828782
