,3.15
1,1.901522
1.1,2.0548197
1.2,2.1985771
1.3,2.332357
1.4,2.455822
1.5,2.5687376
1.6,2.6709746
1.7,2.7625109
1.8,2.8434309
1.9,2.9139253
2,2.9742889
2.1,3.0249177
2.2,3.066305
2.3,3.0990365
2.4,3.1237843
2.5,3.1413003
2.6,3.1524086
2.7,3.1579974
2.8,3.1590101
2.9,3.1564357
3,3.151299
3.1,3.1446506
3.2,3.1375561
3.3,3.1310855
3.4,3.1263026
3.5,3.1242545
3.6,3.1259606
3.7,3.1324032
3.8,3.1445171
3.9,3.1631803
4,3.1892055
4.1,3.223332
4.2,3.2662178
4.3,3.3184337
4.4,3.3804571
4.5,3.4526674
4.6,3.5353423
4.7,3.6286549
4.8,3.732672
4.9,3.8473535
5,3.9725528
5.1,4.1080179
5.2,4.2533946
5.3,4.4082294
5.4,4.5719746
5.5,4.7439931
5.6,4.9235653
5.7,5.1098963
5.8,5.3021234
5.9,5.4993251
6,5.7005302
6.1,5.9047276
6.2,6.110876
6.3,6.3179149
6.4,6.5247748
6.5,6.730388
6.6,6.9336993
6.7,7.1336763
6.8,7.3293202
6.9,7.5196753
7,7.7038388
7.1,7.8809698
7.2,8.0502976
7.3,8.2111295
7.4,8.3628577
7.5,8.5049653
7.6,8.6370317
7.7,8.7587363
7.8,8.8698625
7.9,8.9702989
8,9.0600412
8.1,9.139192
8.2,9.2079595
8.3,9.2666558
8.4,9.3156936
8.5,9.3555821
8.6,9.3869219
8.7,9.410399
8.8,9.4267781
8.9,9.4368946
9,9.4416466
9.1,9.4419859
9.2,9.4389081
9.3,9.4334432
9.4,9.4266451
9.5,9.4195807
9.6,9.4133198
9.7,9.4089241
9.8,9.4074368
9.9,9.4098719
10,9.4172041
10.1,9.4303595
10.2,9.4502057
10.3,9.4775436
10.4,9.5130992
10.5,9.5575164
10.6,9.6113506
10.7,9.675063
10.8,9.7490163
10.9,9.8334707
11,9.9285815
11.1,10.0343975
11.2,10.1508607
11.3,10.2778065
11.4,10.4149658
11.5,10.5619672
11.6,10.7183411
11.7,10.8835243
11.8,11.0568654
11.9,11.2376316
12,11.4250161
12.1,11.6181455
12.2,11.8160895
12.3,12.0178695
12.4,12.2224683
12.5,12.428841
12.6,12.6359247
12.7,12.8426495
12.8,13.047949
12.9,13.250771
13,13.4500882
13.1,13.6449083
13.2,13.8342839
13.3,14.0173219
13.4,14.1931927
13.5,14.3611381
13.6,14.5204793
13.7,14.6706235
13.8,14.8110694
13.9,14.9414131
14,15.0613514
14.1,15.1706849
14.2,15.2693205
14.3,15.3572719
14.4,15.4346593
14.5,15.5017088
14.6,15.5587495
14.7,15.6062107
14.8,15.6446173
14.9,15.6745848
15,15.6968129
