,3.15
1,1.9255641
1.1,2.0802827
1.2,2.2252068
1.3,2.3598873
1.4,2.4839777
1.5,2.5972374
1.6,2.6995339
1.7,2.7908442
1.8,2.8712551
1.9,2.9409624
2,3.0002688
2.1,3.0495808
2.2,3.0894049
2.3,3.1203424
2.4,3.1430832
2.5,3.1583995
2.6,3.1671372
2.7,3.1702083
2.8,3.1685812
2.9,3.1632714
3,3.155331
3.1,3.1458386
3.2,3.1358883
3.3,3.1265785
3.4,3.1190015
3.5,3.1142321
3.6,3.1133172
3.7,3.1172651
3.8,3.1270354
3.9,3.1435298
4,3.1675826
4.1,3.1999527
4.2,3.2413157
4.3,3.2922575
4.4,3.3532685
4.5,3.424738
4.6,3.5069511
4.7,3.6000857
4.8,3.7042102
4.9,3.8192835
5,3.9451549
5.1,4.0815661
5.2,4.228153
5.3,4.3844504
5.4,4.5498956
5.5,4.7238348
5.6,4.9055291
5.7,5.0941624
5.8,5.2888491
5.9,5.4886429
6,5.6925469
6.1,5.8995229
6.2,6.108502
6.3,6.3183953
6.4,6.5281048
6.5,6.7365343
6.6,6.9426005
6.7,7.1452435
6.8,7.3434377
6.9,7.5362022
7,7.7226099
7.1,7.9017975
7.2,8.0729738
7.3,8.2354277
7.4,8.3885351
7.5,8.5317653
7.6,8.6646865
7.7,8.7869697
7.8,8.8983923
7.9,8.9988401
8,9.0883086
8.1,9.1669031
8.2,9.2348375
8.3,9.2924322
8.4,9.3401107
8.5,9.378396
8.6,9.4079047
8.7,9.429341
8.8,9.44349
8.9,9.4512095
9,9.4534214
9.1,9.451103
9.2,9.4452764
9.3,9.4369991
9.4,9.4273529
9.5,9.4174335
9.6,9.408339
9.7,9.4011595
9.8,9.396966
9.9,9.3967994
10,9.4016607
10.1,9.4125003
10.2,9.4302093
10.3,9.4556097
10.4,9.489447
10.5,9.5323822
10.6,9.5849856
10.7,9.6477306
10.8,9.7209896
10.9,9.8050297
11,9.9000103
11.1,10.0059817
11.2,10.1228842
11.3,10.2505489
11.4,10.3886993
11.5,10.5369543
11.6,10.6948317
11.7,10.8617533
11.8,11.0370504
11.9,11.2199706
12,11.4096854
12.1,11.6052985
12.2,11.8058544
12.3,12.0103486
12.4,12.2177368
12.5,12.4269461
12.6,12.6368854
12.7,12.8464561
12.8,13.0545635
12.9,13.2601274
13,13.462093
13.1,13.6594415
13.2,13.8512003
13.3,14.0364525
13.4,14.2143463
13.5,14.3841034
13.6,14.5450268
13.7,14.6965079
13.8,14.8380322
13.9,14.9691848
14,15.0896544
14.1,15.1992366
14.2,15.2978356
14.3,15.3854654
14.4,15.4622495
14.5,15.5284201
14.6,15.5843149
14.7,15.6303749
14.8,15.6671388
14.9,15.6952386
15,15.7153926
