,3.15
1,2.0517847
1.1,2.2139638
1.2,2.3650126
1.3,2.504421
1.4,2.6317952
1.5,2.7468617
1.6,2.8494699
1.7,2.9395939
1.8,3.0173323
1.9,3.0829074
2,3.1366634
2.1,3.1790622
2.2,3.2106794
2.3,3.2321981
2.4,3.2444027
2.5,3.2481703
2.6,3.2444624
2.7,3.2343153
2.8,3.2188294
2.9,3.1991588
3,3.176499
3.1,3.1520757
3.2,3.1271322
3.3,3.1029166
3.4,3.0806703
3.5,3.0616146
3.6,3.0469391
3.7,3.0377896
3.8,3.0352567
3.9,3.0403649
4,3.0540622
4.1,3.0772111
4.2,3.1105793
4.3,3.1548327
4.4,3.2105281
4.5,3.2781084
4.6,3.3578975
4.7,3.4500972
4.8,3.5547855
4.9,3.6719156
5,3.8013163
5.1,3.9426938
5.2,4.0956348
5.3,4.2596103
5.4,4.4339809
5.5,4.6180037
5.6,4.8108391
5.7,5.0115596
5.8,5.2191587
5.9,5.4325614
6,5.6506346
6.1,5.8721985
6.2,6.0960386
6.3,6.3209174
6.4,6.5455872
6.5,6.7688023
6.6,6.9893317
6.7,7.205971
6.8,7.4175547
6.9,7.6229681
7,7.8211579
7.1,8.0111428
7.2,8.192024
7.3,8.3629932
7.4,8.5233413
7.5,8.6724653
7.6,8.8098745
7.7,8.935195
7.8,9.0481738
7.9,9.1486813
8,9.2367124
8.1,9.3123866
8.2,9.3759471
8.3,9.4277579
8.4,9.4683006
8.5,9.4981691
8.6,9.5180642
8.7,9.5287864
8.8,9.5312276
8.9,9.5263626
9,9.5152392
9.1,9.4989677
9.2,9.4787099
9.3,9.4556673
9.4,9.4310693
9.5,9.4061608
9.6,9.38219
9.7,9.3603955
9.8,9.3419941
9.9,9.3281691
10,9.3200575
10.1,9.3187397
10.2,9.3252281
10.3,9.3404568
10.4,9.365273
10.5,9.4004279
10.6,9.4465693
10.7,9.5042354
10.8,9.5738491
10.9,9.6557142
11,9.7500118
11.1,9.8567988
11.2,9.9760075
11.3,10.107446
11.4,10.2508
11.5,10.4056365
11.6,10.5714074
11.7,10.7474558
11.8,10.9330216
11.9,11.12725
12,11.3291995
12.1,11.5378513
12.2,11.75212
12.3,11.9708638
12.4,12.1928962
12.5,12.4169978
12.6,12.6419289
12.7,12.8664409
12.8,13.08929
12.9,13.3092486
13,13.5251181
13.1,13.7357407
13.2,13.9400113
13.3,14.1368879
13.4,14.3254026
13.5,14.504671
13.6,14.6739011
13.7,14.8324011
13.8,14.9795865
13.9,15.1149859
14,15.2382455
14.1,15.349133
14.2,15.4475396
14.3,15.5334812
14.4,15.6070982
14.5,15.6686543
14.6,15.7185336
14.7,15.7572369
14.8,15.7853766
14.9,15.8036708
15,15.8129358
