,3.15
1,1.8940089
1.1,2.0468625
1.2,2.1902553
1.3,2.3237538
1.4,2.4470233
1.5,2.5598313
1.6,2.6620499
1.7,2.7536567
1.8,2.8347358
1.9,2.9054762
2,2.9661701
2.1,3.0172104
2.2,3.0590863
2.3,3.0923784
2.4,3.1177534
2.5,3.1359568
2.6,3.1478059
2.7,3.1541815
2.8,3.1560191
2.9,3.1542995
3,3.150039
3.1,3.1442794
3.2,3.1380773
3.3,3.1324939
3.4,3.1285843
3.5,3.1273865
3.6,3.1299117
3.7,3.1371339
3.8,3.1499801
3.9,3.169321
4,3.1959627
4.1,3.2306381
4.2,3.2739998
4.3,3.3266138
4.4,3.3889535
4.5,3.4613953
4.6,3.5442145
4.7,3.6375828
4.8,3.7415664
4.9,3.8561254
5,3.9811146
5.1,4.1162841
5.2,4.2612826
5.3,4.4156604
5.4,4.5788743
5.5,4.7502925
5.6,4.9292016
5.7,5.1148131
5.8,5.3062716
5.9,5.5026633
6,5.703025
6.1,5.906354
6.2,6.1116179
6.3,6.3177648
6.4,6.5237342
6.5,6.7284673
6.6,6.9309177
6.7,7.1300616
6.8,7.3249085
6.9,7.5145107
7,7.6979729
7.1,7.8744612
7.2,8.0432113
7.3,8.2035363
7.4,8.3548335
7.5,8.4965903
7.6,8.6283895
7.7,8.7499134
7.8,8.8609469
7.9,8.9613798
8,9.0512077
8.1,9.1305323
8.2,9.1995601
8.3,9.2586007
8.4,9.3080633
8.5,9.3484528
8.6,9.3803648
8.7,9.4044797
8.8,9.4215556
8.9,9.4324212
9,9.437967
9.1,9.4391368
9.2,9.436918
9.3,9.432332
9.4,9.4264239
9.5,9.4202517
9.6,9.4148763
9.7,9.4113506
9.8,9.410709
9.9,9.413957
10,9.4220615
10.1,9.4359405
10.2,9.4564546
10.3,9.4843979
10.4,9.5204905
10.5,9.5653708
10.6,9.6195896
10.7,9.6836044
10.8,9.7577747
10.9,9.8423585
11,9.93751
11.1,10.0432775
11.2,10.1596034
11.3,10.2863246
11.4,10.4231741
11.5,10.5697837
11.6,10.7256878
11.7,10.8903277
11.8,11.0630576
11.9,11.2431507
12,11.4298069
12.1,11.6221602
12.2,11.819288
12.3,12.0202197
12.4,12.2239469
12.5,12.4294332
12.6,12.6356245
12.7,12.8414599
12.8,13.0458819
12.9,13.2478471
13,13.4463367
13.1,13.6403667
13.2,13.8289975
13.3,14.0113436
13.4,14.1865822
13.5,14.3539615
13.6,14.5128083
13.7,14.6625346
13.8,14.8026436
13.9,14.9327345
14,15.0525066
14.1,15.1617625
14.2,15.2604096
14.3,15.3484614
14.4,15.4260374
14.5,15.4933615
14.6,15.5507603
14.7,15.5986594
14.8,15.6375794
14.9,15.6681305
15,15.6910068
