,2.95
1,2.2621524
1.1,2.4367657
1.2,2.5980224
1.3,2.7453105
1.4,2.8781576
1.5,2.9962354
1.6,3.0993633
1.7,3.1875101
1.8,3.2607942
1.9,3.3194825
2,3.3639878
2.1,3.3948645
2.2,3.4128035
2.3,3.4186244
2.4,3.4132685
2.5,3.3977883
2.6,3.3733377
2.7,3.3411602
2.8,3.3025764
2.9,3.2589711
3,3.211779
3.1,3.1624709
3.2,3.1125386
3.3,3.0634802
3.4,3.016785
3.5,2.9739188
3.6,2.936309
3.7,2.9053306
3.8,2.8822923
3.9,2.8684234
4,2.8648616
4.1,2.8726418
4.2,2.8926854
4.3,2.9257912
4.4,2.9726276
4.5,3.0337259
4.6,3.1094747
4.7,3.2001164
4.8,3.3057443
4.9,3.4263024
5,3.5615852
5.1,3.7112402
5.2,3.8747712
5.3,4.0515434
5.4,4.2407898
5.5,4.4416186
5.6,4.6530225
5.7,4.8738882
5.8,5.1030082
5.9,5.3390923
6,5.5807807
6.1,5.8266579
6.2,6.0752662
6.3,6.3251209
6.4,6.5747245
6.5,6.8225823
6.6,7.067217
6.7,7.3071834
6.8,7.5410831
6.9,7.7675781
7,7.9854045
7.1,8.1933851
7.2,8.390441
7.3,8.5756023
7.4,8.7480183
7.5,8.9069653
7.6,9.0518544
7.7,9.182237
7.8,9.2978096
7.9,9.3984166
8,9.4840519
8.1,9.5548591
8.2,9.6111298
8.3,9.6533009
8.4,9.6819503
8.5,9.6977909
8.6,9.7016635
8.7,9.6945287
8.8,9.6774569
8.9,9.6516178
9,9.6182688
9.1,9.5787423
9.2,9.5344324
9.3,9.4867809
9.4,9.4372631
9.5,9.387373
9.6,9.3386083
9.7,9.2924553
9.8,9.2503743
9.9,9.2137851
10,9.1840522
10.1,9.1624721
10.2,9.1502594
10.3,9.1485354
10.4,9.1583164
10.5,9.1805039
10.6,9.2158754
10.7,9.2650766
10.8,9.3286151
10.9,9.4068552
11,9.5000142
11.1,9.6081607
11.2,9.7312131
11.3,9.8689412
11.4,10.0209679
11.5,10.1867734
11.6,10.3657003
11.7,10.5569599
11.8,10.7596403
11.9,10.9727157
12,11.1950562
12.1,11.4254395
12.2,11.6625627
12.3,11.9050558
12.4,12.1514951
12.5,12.4004174
12.6,12.6503346
12.7,12.899749
12.8,13.1471675
12.9,13.3911172
13,13.6301598
13.1,13.8629061
13.2,14.0880297
13.3,14.3042804
13.4,14.5104966
13.5,14.7056171
13.6,14.8886916
13.7,15.0588898
13.8,15.2155104
13.9,15.3579878
14,15.4858974
14.1,15.5989604
14.2,15.6970463
14.3,15.7801742
14.4,15.8485126
14.5,15.9023781
14.6,15.9422314
14.7,15.9686736
14.8,15.9824396
14.9,15.9843911
15,15.9755077
