,3.15
1,1.9466008
1.1,2.1025629
1.2,2.2485077
1.3,2.3839762
1.4,2.5086139
1.5,2.6221748
1.6,2.7245232
1.7,2.8156358
1.8,2.8956013
1.9,2.9646199
2,3.0230012
2.1,3.071161
2.2,3.1096173
2.3,3.138985
2.4,3.1599698
2.5,3.1733613
2.6,3.1800247
2.7,3.1808928
2.8,3.1769559
2.9,3.1692526
3,3.158859
3.1,3.1468782
3.2,3.1344289
3.3,3.1226348
3.4,3.1126129
3.5,3.1054625
3.6,3.1022542
3.7,3.1040192
3.8,3.111739
3.9,3.1263357
4,3.1486626
4.1,3.1794957
4.2,3.2195263
4.3,3.2693534
4.4,3.3294784
4.5,3.4002997
4.6,3.4821088
4.7,3.5750876
4.8,3.6793061
4.9,3.7947222
5,3.9211818
5.1,4.0584207
5.2,4.2060667
5.3,4.3636437
5.4,4.5305765
5.5,4.7061963
5.6,4.8897475
5.7,5.0803953
5.8,5.277234
5.9,5.479296
6,5.6855615
6.1,5.8949689
6.2,6.1064248
6.3,6.3188157
6.4,6.5310185
6.5,6.7419123
6.6,6.950389
6.7,7.1553647
6.8,7.3557906
6.9,7.5506632
7,7.7390345
7.1,7.9200217
7.2,8.0928155
7.3,8.2566886
7.4,8.4110028
7.5,8.5552153
7.6,8.6888845
7.7,8.8116739
7.8,8.9233559
7.9,9.0238136
8,9.1130426
8.1,9.1911504
8.2,9.2583558
8.3,9.3149865
8.4,9.3614757
8.5,9.3983582
8.6,9.4262646
8.7,9.4459152
8.8,9.458113
8.9,9.463735
9,9.4637244
9.1,9.4590804
9.2,9.4508486
9.3,9.4401104
9.4,9.4279723
9.5,9.4155547
9.6,9.4039808
9.7,9.3943655
9.8,9.387804
9.9,9.385361
10,9.3880602
10.1,9.3968736
10.2,9.4127124
10.3,9.4364175
10.4,9.4687513
10.5,9.5103898
10.6,9.5619162
10.7,9.6238147
10.8,9.6964662
10.9,9.7801438
11,9.8750106
11.1,9.9811179
11.2,10.0984048
11.3,10.2266984
11.4,10.3657161
11.5,10.515068
11.6,10.674261
11.7,10.8427037
11.8,11.0197122
11.9,11.2045171
12,11.3962711
12.1,11.5940573
12.2,11.7968987
12.3,12.0037678
12.4,12.2135967
12.5,12.4252881
12.6,12.637726
12.7,12.8497869
12.8,13.0603513
12.9,13.2683143
13,13.4725972
13.1,13.6721581
13.2,13.8660021
13.3,14.0531917
13.4,14.2328557
13.5,14.404198
13.6,14.5665059
13.7,14.7191567
13.8,14.8616245
13.9,14.9934849
14,15.1144196
14.1,15.2242193
14.2,15.3227863
14.3,15.4101347
14.4,15.486391
14.5,15.5517924
14.6,15.6066847
14.7,15.6515185
14.8,15.6868451
14.9,15.7133106
15,15.7316498
